x1,x2,y
1.5365823071875377,1.534270246429743,0.0
1.765846625276664,1.7658630430508195,0.0
5.465648768921554,3.774223699513464,1.0
2.6718139511015693,4.1968612358691235,1.0
2.496714153011233,1.8617356988288154,0.0
3.4556172754748173,4.110922589709866,1.0
3.0,3.1,0.0
3.986502775262066,2.9422890710441,1.0
3.0,2.9,0.0
1.5305256140650478,2.5425600435859645,0.0
3.5,3.6,1.0
0.9871688796655762,2.314247332595274,0.0
3.5,3.5,1.0
2.241962271566034,0.08671975534220211,0.0
4.208863595004756,2.040329876120224,1.0
0.27508216748696723,1.4377124707590272,0.0
3.3993613100811952,3.708306250206723,1.0
3.398293387770603,5.852278184508938,1.0
2.8490064225776974,4.3756980183456715,1.0
3.5792128155073915,2.767434729152909,0.0
1.0919759244787888,0.5876962986647083,0.0
2.6476885381006925,3.5230298564080256,0.0
4.067528204687924,2.575251813786543,1.0
4.822544912103189,2.7791563500289778,1.0
