x1,x2,y
2.7483570765056164,2.430867849414408,0.0
4.232824384460777,3.387111849756732,1.0
2.8238442690503462,3.261514928204013,0.0
3.533764102343962,2.787625906893272,1.0
2.382923312638332,2.3829315215254097,0.0
3.2278086377374087,3.555461294854933,1.0
3.2896064077536957,2.8837173645764542,0.0
2.9245032112888487,3.6878490091728358,1.0
2.265262807032524,2.7712800217929825,0.0
3.1996806550405976,3.3541531251033616,1.0
2.268291153593769,2.2671351232148718,0.0
3.1991466938853015,4.426139092254469,1.0
2.6209811357830173,1.543359877671101,0.0
3.493251387631033,2.97114453552205,1.0
1.6375410837434836,2.218856235379514,0.0
3.9112724560515946,2.889578175014489,1.0
1.9935844398327882,2.657123666297637,0.0
3.604431797502378,2.520164938060112,1.0
2.0459879622393946,1.7938481493323541,0.0
2.8359069755507846,3.5984306179345618,1.0
3.0,3.1,0.0
3.5,3.5,1.0
3.0,2.9,0.0
3.5,3.6,1.0
